epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.971,1.19168,2.01499,1.30344,0.67614,0.58571,0.66235,0.44295,1.10419,5.17195,1.27335,9.77224e-05,9.77224e-05,9.77224e-05
2,250.828,1.08183,1.16136,1.24199,0.64241,0.66012,0.6791,0.45303,1.14664,7.59148,1.34025,0.000193785,0.000193785,0.000193785
3,368.115,1.04885,1.0771,1.2278,0.69401,0.65398,0.68359,0.45014,1.1538,6.4689,1.36936,0.000287907,0.000287907,0.000287907
4,480.708,0.99768,0.98076,1.21448,0.6472,0.6528,0.66741,0.43311,1.15127,5.14178,1.38722,0.000285268,0.000285268,0.000285268
5,593.334,0.97425,0.86401,1.20041,0.69307,0.64736,0.6857,0.47126,1.1085,6.28863,1.34677,0.000282358,0.000282358,0.000282358
6,708.868,0.9377,0.83773,1.18885,0.6808,0.63145,0.68047,0.46138,1.14581,5.17521,1.38824,0.000279447,0.000279447,0.000279447
7,820.838,0.89995,0.77707,1.16464,0.74901,0.69521,0.75256,0.51666,1.09908,3.30364,1.37028,0.000276536,0.000276536,0.000276536
8,937.533,0.87407,0.77131,1.15577,0.71661,0.6632,0.71232,0.47912,1.08516,3.61688,1.34251,0.000273626,0.000273626,0.000273626
9,1053.77,0.86576,0.73765,1.14495,0.70256,0.71964,0.7514,0.52017,1.02368,3.88982,1.28264,0.000270715,0.000270715,0.000270715
10,1171.49,0.8518,0.72506,1.14575,0.79908,0.71716,0.78843,0.54731,1.01966,4.03765,1.31049,0.000267805,0.000267805,0.000267805
11,1294.28,0.84775,0.74424,1.15995,0.73228,0.7585,0.78742,0.54268,1.05215,3.42029,1.33521,0.000264894,0.000264894,0.000264894
12,1436.72,0.81085,0.6532,1.12408,0.79116,0.718,0.77693,0.5488,0.99199,3.10466,1.29078,0.000261983,0.000261983,0.000261983
13,1580.86,0.79609,0.60667,1.11308,0.76887,0.76358,0.80589,0.56789,0.99258,2.21796,1.29358,0.000259073,0.000259073,0.000259073
14,1726.53,0.7788,0.6109,1.09829,0.75857,0.76354,0.79123,0.55509,1.01891,2.23604,1.31556,0.000256162,0.000256162,0.000256162
15,1868.78,0.79307,0.65638,1.12892,0.75639,0.75174,0.78475,0.55231,1.02547,2.73927,1.31777,0.000253252,0.000253252,0.000253252
16,2010.58,0.7687,0.60027,1.10399,0.78624,0.74919,0.78983,0.55957,0.98515,2.11836,1.30007,0.000250341,0.000250341,0.000250341
17,2154.14,0.76765,0.61596,1.10909,0.77322,0.76021,0.7956,0.55782,0.96891,2.58841,1.28028,0.00024743,0.00024743,0.00024743
18,2296.14,0.75284,0.5928,1.10357,0.77991,0.78293,0.81794,0.58328,0.95275,3.41232,1.2762,0.00024452,0.00024452,0.00024452
19,2439.65,0.73919,0.58034,1.09896,0.82861,0.7434,0.81344,0.58701,0.93786,3.11869,1.24906,0.000241609,0.000241609,0.000241609
20,2585.34,0.74079,0.58177,1.09378,0.78848,0.76632,0.81257,0.57845,0.95988,2.90084,1.26672,0.000238699,0.000238699,0.000238699
21,2727.8,0.7144,0.56248,1.07175,0.79502,0.76209,0.81774,0.5859,0.98006,1.39464,1.2826,0.000235788,0.000235788,0.000235788
22,2870.94,0.72988,0.55477,1.08735,0.80195,0.77252,0.82887,0.58715,0.95896,1.39889,1.27757,0.000232877,0.000232877,0.000232877
23,3015.95,0.71214,0.52631,1.06714,0.82275,0.74805,0.82371,0.59604,0.93018,1.967,1.25102,0.000229967,0.000229967,0.000229967
24,3159.83,0.69843,0.5212,1.05694,0.81068,0.75433,0.82245,0.5951,0.94788,1.72479,1.27852,0.000227056,0.000227056,0.000227056
25,3302.38,0.69225,0.51399,1.06117,0.82391,0.76367,0.83353,0.60237,0.9423,0.98749,1.25456,0.000224146,0.000224146,0.000224146
